MEASURE:Migration type,SEX_ABS:Sex,AGE:Age,ASGS_2011:Region,FREQUENCY:Frequency,TIME:Time,Value,Flag Codes:Flags
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2005:2005,90,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2006:2006,90,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2007:2007,120,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2008:2008,130,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2009:2009,150,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2010:2010,150,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2011:2011,160,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2012:2012,220,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2013:2013,210,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2014:2014,160,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2015:2015,180,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2016:2016,210,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2017:2017,190,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2018:2018,150,
1:NOM arrival,1:Males,A04:0 - 4,7:Northern Territory,A:Annual,2019:2019,130,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2004:2004,180,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2005:2005,170,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2006:2006,190,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2007:2007,190,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2008:2008,260,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2009:2009,270,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2010:2010,260,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2011:2011,330,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2012:2012,350,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2013:2013,290,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2014:2014,330,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2015:2015,310,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2016:2016,320,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2017:2017,320,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2018:2018,290,
1:NOM arrival,1:Males,A04:0 - 4,8:Australian Capital Territory,A:Annual,2019:2019,300,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2004:2004,8900,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2005:2005,9720,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2006:2006,10830,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2007:2007,11320,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2008:2008,12840,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2009:2009,11070,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2010:2010,10340,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2011:2011,11620,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2012:2012,12370,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2013:2013,12110,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2014:2014,10640,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2015:2015,10720,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2016:2016,12270,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2017:2017,11930,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2018:2018,11810,
1:NOM arrival,1:Males,A59:5 - 9,0:Australia,A:Annual,2019:2019,12230,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2004:2004,2880,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2005:2005,3110,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2006:2006,3210,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2007:2007,3090,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2008:2008,3550,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2009:2009,3030,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2010:2010,2910,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2011:2011,3110,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2012:2012,3290,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2013:2013,3470,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2014:2014,3340,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2015:2015,3390,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2016:2016,4000,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2017:2017,3950,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2018:2018,3890,
1:NOM arrival,1:Males,A59:5 - 9,1:New South Wales,A:Annual,2019:2019,4050,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2004:2004,2070,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2005:2005,2150,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2006:2006,2460,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2007:2007,2500,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2008:2008,2810,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2009:2009,2580,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2010:2010,2450,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2011:2011,2690,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2012:2012,2810,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2013:2013,2990,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2014:2014,2660,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2015:2015,2880,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2016:2016,3290,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2017:2017,3450,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2018:2018,3290,
1:NOM arrival,1:Males,A59:5 - 9,2:Victoria,A:Annual,2019:2019,3330,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2004:2004,1870,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2005:2005,2050,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2006:2006,2190,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2007:2007,2610,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2008:2008,2940,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2009:2009,2440,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2010:2010,2170,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2011:2011,2560,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2012:2012,2640,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2013:2013,2360,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2014:2014,1990,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2015:2015,1880,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2016:2016,2240,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2017:2017,2080,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2018:2018,2190,
1:NOM arrival,1:Males,A59:5 - 9,3:Queensland,A:Annual,2019:2019,2240,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2004:2004,470,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2005:2005,630,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2006:2006,790,
